Player,Tm,FG%
Precious Achiuwa,TOR,0.485
Steven Adams,MEM,0.597
Bam Adebayo,MIA,0.54
Ochai Agbaji,UTA,0.427
Santi Aldama,MEM,0.47
Nickeil Alexander-Walker,TOT,0.444
Nickeil Alexander-Walker,UTA,0.488
Nickeil Alexander-Walker,MIN,0.384
Grayson Allen,MIL,0.44
Jarrett Allen,CLE,0.644
Jose Alvarado,NOP,0.411
Kyle Anderson,MIN,0.509
Giannis Antetokounmpo,MIL,0.553
Thanasis Antetokounmpo,MIL,0.435
Cole Anthony,ORL,0.454
OG Anunoby,TOR,0.476
Ryan Arcidiacono,TOT,0.243
Ryan Arcidiacono,NYK,0.2
Ryan Arcidiacono,POR,0.25
Deni Avdija,WAS,0.437
Deandre Ayton,PHO,0.589
Udoka Azubuike,UTA,0.819
Marvin Bagley III,DET,0.529
Patrick Baldwin Jr.,GSW,0.394
LaMelo Ball,CHO,0.411
Mo Bamba,TOT,0.485
Mo Bamba,ORL,0.495
Mo Bamba,LAL,0.407
Paolo Banchero,ORL,0.427
Desmond Bane,MEM,0.479
Dalano Banton,TOR,0.423
Dominick Barlow,SAS,0.535
Harrison Barnes,SAC,0.473
Scottie Barnes,TOR,0.456
RJ Barrett,NYK,0.434
Will Barton,TOT,0.379
Will Barton,WAS,0.386
Will Barton,TOR,0.354
Charles Bassey,SAS,0.644
Keita Bates-Diop,SAS,0.508
Nicolas Batum,LAC,0.42
Darius Bazley,TOT,0.454
Darius Bazley,OKC,0.449
Darius Bazley,PHO,0.48
Bradley Beal,WAS,0.506
Malik Beasley,TOT,0.395
Malik Beasley,UTA,0.396
Malik Beasley,LAL,0.392
MarJon Beauchamp,MIL,0.395
Dāvis Bertāns,DAL,0.431
Patrick Beverley,TOT,0.4
Patrick Beverley,LAL,0.402
Patrick Beverley,CHI,0.395
Saddiq Bey,TOT,0.422
Saddiq Bey,DET,0.404
Saddiq Bey,ATL,0.47
Khem Birch,TOR,0.594
Goga Bitadze,TOT,0.552
Goga Bitadze,IND,0.519
Goga Bitadze,ORL,0.575
Bismack Biyombo,PHO,0.578
Buddy Boeheim,DET,0.185
Bogdan Bogdanović,ATL,0.447
Bojan Bogdanović,DET,0.488
Bol Bol,ORL,0.546
Leandro Bolmaro,UTA,0.15
Devin Booker,PHO,0.494
Brandon Boston Jr.,LAC,0.418
Chris Boucher,TOR,0.493
James Bouknight,CHO,0.358
Jamaree Bouyea,TOT,0.429
Jamaree Bouyea,MIA,0.462
Jamaree Bouyea,WAS,0
Tony Bradley,CHI,0.5
Malaki Branham,SAS,0.44
Jarrell Brantley,UTA,0.571
Christian Braun,DEN,0.495
Mikal Bridges,TOT,0.468
Mikal Bridges,PHO,0.463
Mikal Bridges,BRK,0.475
Oshae Brissett,IND,0.386
Malcolm Brogdon,BOS,0.484
Dillon Brooks,MEM,0.396
Bruce Brown,DEN,0.483
Greg Brown III,POR,0.393
Jaylen Brown,BOS,0.491
Kendall Brown,IND,0.571
Moses Brown,TOT,0.635
Moses Brown,LAC,0.635
Moses Brown,BRK,
Sterling Brown,LAL,0
Troy Brown Jr.,LAL,0.43
Jalen Brunson,NYK,0.491
Thomas Bryant,TOT,0.623
Thomas Bryant,LAL,0.654
Thomas Bryant,DEN,0.485
Reggie Bullock,DAL,0.409
Alec Burks,DET,0.436
Deonte Burton,SAC,0
Jared Butler,OKC,0.469
Jimmy Butler,MIA,0.539
John Butler,POR,0.321
Jamal Cain,MIA,0.561
Kentavious Caldwell-Pope,DEN,0.462
Facundo Campazzo,DAL,0.231
Vlatko Čančar,DEN,0.476
Clint Capela,ATL,0.653
Vernon Carey Jr.,WAS,0.25
Jevon Carter,MIL,0.423
Wendell Carter Jr.,ORL,0.525
Michael Carter-Williams,ORL,0.429
Alex Caruso,CHI,0.455
Julian Champagnie,TOT,0.454
Julian Champagnie,PHI,0
Julian Champagnie,SAS,0.461
Justin Champagnie,TOT,0.333
Justin Champagnie,TOR,1
Justin Champagnie,BOS,0.167
Kennedy Chandler,MEM,0.422
Max Christie,LAL,0.415
Josh Christopher,HOU,0.465
Brandon Clarke,MEM,0.656
Jordan Clarkson,UTA,0.444
Nic Claxton,BRK,0.705
Amir Coffey,LAC,0.386
John Collins,ATL,0.508
Zach Collins,SAS,0.518
Chance Comanche,POR,0.6
Mike Conley,TOT,0.428
Mike Conley,UTA,0.408
Mike Conley,MIN,0.46
Pat Connaughton,MIL,0.392
Xavier Cooks,WAS,0.607
Robert Covington,LAC,0.445
Torrey Craig,PHO,0.456
Jae Crowder,MIL,0.479
Jarrett Culver,ATL,0.395
Cade Cunningham,DET,0.415
Seth Curry,BRK,0.463
Stephen Curry,GSW,0.493
Dyson Daniels,NOP,0.418
Anthony Davis,LAL,0.563
Johnny Davis,WAS,0.386
Terence Davis,SAC,0.423
JD Davison,BOS,0.421
Darius Days,HOU,0.417
Dewayne Dedmon,TOT,0.51
Dewayne Dedmon,MIA,0.496
Dewayne Dedmon,PHI,0.591
Matthew Dellavedova,SAC,0.34
DeMar DeRozan,CHI,0.504
Moussa Diabaté,LAC,0.511
Mamadi Diakite,CLE,0.48
Hamidou Diallo,DET,0.573
Gorgui Dieng,SAS,0.385
Ousmane Dieng,OKC,0.42
Spencer Dinwiddie,TOT,0.438
Spencer Dinwiddie,DAL,0.455
Spencer Dinwiddie,BRK,0.404
Donte DiVincenzo,GSW,0.435
Luka Dončić,DAL,0.496
Tyler Dorsey,DAL,0.8
Luguentz Dort,OKC,0.388
Ayo Dosunmu,CHI,0.493
Devon Dotson,WAS,0.1
Jeff Dowtin,TOR,0.439
PJ Dozier,SAC,0.303
Goran Dragić,TOT,0.421
Goran Dragić,CHI,0.425
Goran Dragić,MIL,0.389
Andre Drummond,CHI,0.606
Chris Duarte,IND,0.369
David Duke Jr.,BRK,0.462
Kris Dunn,UTA,0.537
Kevin Durant,TOT,0.56
Kevin Durant,BRK,0.559
Kevin Durant,PHO,0.57
Jalen Duren,DET,0.648
Tari Eason,HOU,0.448
Anthony Edwards,MIN,0.459
Kessler Edwards,TOT,0.387
Kessler Edwards,BRK,0.25
Kessler Edwards,SAC,0.435
Keon Ellis,SAC,0.438
Joel Embiid,PHI,0.548
Drew Eubanks,POR,0.641
Bruno Fernando,TOT,0.527
Bruno Fernando,HOU,0.516
Bruno Fernando,ATL,0.579
Dorian Finney-Smith,TOT,0.391
Dorian Finney-Smith,DAL,0.416
Dorian Finney-Smith,BRK,0.351
Malachi Flynn,TOR,0.36
Simone Fontecchio,UTA,0.369
Bryn Forbes,MIN,0.361
Trent Forrest,ATL,0.417
Michael Foster Jr.,PHI,
Evan Fournier,NYK,0.337
De'Aaron Fox,SAC,0.512
Markelle Fultz,ORL,0.514
Wenyen Gabriel,LAL,0.596
Daniel Gafford,WAS,0.732
Darius Garland,CLE,0.462
Usman Garuba,HOU,0.486
Luka Garza,MIN,0.543
Rudy Gay,UTA,0.38
Paul George,LAC,0.457
Taj Gibson,WAS,0.52
Josh Giddey,OKC,0.482
Shai Gilgeous-Alexander,OKC,0.51
Anthony Gill,WAS,0.538
Jacob Gilyard,MEM,0.333
Rudy Gobert,MIN,0.659
Jordan Goodwin,WAS,0.448
Aaron Gordon,DEN,0.564
Eric Gordon,TOT,0.446
Eric Gordon,HOU,0.439
Eric Gordon,LAC,0.463
Devonte' Graham,TOT,0.374
Devonte' Graham,NOP,0.368
Devonte' Graham,SAS,0.38
Jerami Grant,POR,0.475
RaiQuan Gray,BRK,0.5
A.J. Green,MIL,0.424
Danny Green,TOT,0.449
Danny Green,MEM,0.273
Danny Green,CLE,0.5
Draymond Green,GSW,0.527
Jalen Green,HOU,0.416
JaMychal Green,GSW,0.54
Javonte Green,CHI,0.565
Jeff Green,DEN,0.488
Josh Green,DAL,0.537
AJ Griffin,ATL,0.465
Blake Griffin,BOS,0.485
Quentin Grimes,NYK,0.468
Rui Hachimura,TOT,0.486
Rui Hachimura,WAS,0.488
Rui Hachimura,LAL,0.485
Tyrese Haliburton,IND,0.49
Jordan Hall,SAS,0.321
R.J. Hampton,TOT,0.43
R.J. Hampton,ORL,0.439
R.J. Hampton,DET,0.423
Tim Hardaway Jr.,DAL,0.401
James Harden,PHI,0.441
Jaden Hardy,DAL,0.438
Ron Harper Jr.,TOR,0.5
Montrezl Harrell,PHI,0.598
Gary Harris,ORL,0.45
Joe Harris,BRK,0.457
Kevon Harris,ORL,0.439
Tobias Harris,PHI,0.501
Shaquille Harrison,POR,0.417
Josh Hart,TOT,0.529
Josh Hart,POR,0.504
Josh Hart,NYK,0.586
Isaiah Hartenstein,NYK,0.535
Udonis Haslem,MIA,0.345
Sam Hauser,BOS,0.455
Jaxson Hayes,NOP,0.551
Killian Hayes,DET,0.377
